,household_id,school_id,y_ij,test_scores,sports,distance
0,0,0,0,0.95,1.0,4.404172288233257
1,0,1,0,0.45,3.5,7.6108183464979255
2,0,2,0,0.65,0.5,3.502264236320029
3,0,3,1,0.85,2.0,1.6146682812959496
4,0,4,0,0.5,2.8,6.413655433336817
5,1,0,0,0.95,1.0,3.170218099656822
6,1,1,1,0.45,3.5,3.7387263422418995
7,1,2,0,0.65,0.5,1.3357196952578485
8,1,3,0,0.85,2.0,5.058677648005054
9,1,4,0,0.5,2.8,5.433048077203783
10,2,0,0,0.95,1.0,6.105007609784163
11,2,1,0,0.45,3.5,7.394662791389773
12,2,2,0,0.65,0.5,3.2473039749533092
13,2,3,1,0.85,2.0,1.5520722963608158
14,2,4,0,0.5,2.8,4.451836508225856
15,3,0,0,0.95,1.0,7.055074119556849
16,3,1,1,0.45,3.5,1.0755512220159418
17,3,2,0,0.65,0.5,5.179213175997634
18,3,3,0,0.85,2.0,9.407002063020663
19,3,4,0,0.5,2.8,6.314620132075574
20,4,0,1,0.95,1.0,4.633330461043946
21,4,1,0,0.45,3.5,1.7701906222274113
22,4,2,0,0.65,0.5,2.5303155848225005
23,4,3,0,0.85,2.0,6.7580632638774105
24,4,4,0,0.5,2.8,5.228502917313287
25,5,0,0,0.95,1.0,10.518627620100826
26,5,1,0,0.45,3.5,7.389591530718131
27,5,2,0,0.65,0.5,6.279552959277266
28,5,3,0,0.85,2.0,7.762699771720829
29,5,4,1,0.5,2.8,2.0552478503547325
30,6,0,0,0.95,1.0,7.039148592316757
31,6,1,1,0.45,3.5,5.7658578205984945
32,6,2,0,0.65,0.5,2.8693969455777126
33,6,3,0,0.85,2.0,4.384262908999025
34,6,4,0,0.5,2.8,1.7080002218578392
35,7,0,0,0.95,1.0,7.007615334496199
36,7,1,0,0.45,3.5,6.876643739324007
37,7,2,0,0.65,0.5,3.2624738151272514
38,7,3,1,0.85,2.0,3.1621577555836553
39,7,4,0,0.5,2.8,2.860209452560364
40,8,0,0,0.95,1.0,2.8453785781199317
41,8,1,1,0.45,3.5,3.780279593470756
42,8,2,0,0.65,0.5,1.6925127266853566
43,8,3,0,0.85,2.0,5.238194808822251
44,8,4,0,0.5,2.8,5.799398193533532
45,9,0,1,0.95,1.0,0.8222966410157675
46,9,1,0,0.45,3.5,5.22764439358749
47,9,2,0,0.65,0.5,3.5245191764568484
48,9,3,0,0.85,2.0,5.7893181761428005
49,9,4,0,0.5,2.8,7.756822744178077
50,10,0,0,0.95,1.0,3.993457088501048
51,10,1,0,0.45,3.5,3.5846447963877064
52,10,2,0,0.65,0.5,0.7375400164862095
53,10,3,1,0.85,2.0,4.923235951644761
54,10,4,0,0.5,2.8,4.597850697242973
55,11,0,0,0.95,1.0,4.99564782808064
56,11,1,1,0.45,3.5,2.318366400182543
57,11,2,0,0.65,0.5,5.137628932868029
58,11,3,0,0.85,2.0,9.133216264722412
59,11,4,0,0.5,2.8,7.989616065962029
60,12,0,0,0.95,1.0,2.9772626536574966
61,12,1,1,0.45,3.5,3.8909979085341564
62,12,2,0,0.65,0.5,1.4460742541781682
63,12,3,0,0.85,2.0,5.004237881333852
64,12,4,0,0.5,2.8,5.596263806177316
65,13,0,0,0.95,1.0,3.948926919712633
66,13,1,1,0.45,3.5,7.221240325085755
67,13,2,0,0.65,0.5,3.1903315759611406
68,13,3,0,0.85,2.0,2.051857523441813
69,13,4,0,0.5,2.8,6.384544409111608
70,14,0,0,0.95,1.0,2.5567671420109557
71,14,1,0,0.45,3.5,3.7814652589161146
72,14,2,0,0.65,0.5,2.1020891124591277
73,14,3,0,0.85,2.0,5.526126832515599
74,14,4,1,0.5,2.8,6.188739698433886
75,15,0,1,0.95,1.0,6.746897671386252
76,15,1,0,0.45,3.5,8.9660857479622
77,15,2,0,0.65,0.5,4.741119855314068
78,15,3,0,0.85,2.0,0.7521577793891963
79,15,4,0,0.5,2.8,5.952798230811233
80,16,0,0,0.95,1.0,7.227544393342956
81,16,1,1,0.45,3.5,4.0671759360975885
82,16,2,0,0.65,0.5,3.160233919405098
83,16,3,0,0.85,2.0,6.27950927665098
84,16,4,0,0.5,2.8,1.9330698106829485
85,17,0,0,0.95,1.0,7.607851064055268
86,17,1,0,0.45,3.5,8.74455993019499
87,17,2,0,0.65,0.5,4.729077672657792
88,17,3,1,0.85,2.0,2.064224526375236
89,17,4,0,0.5,2.8,4.780057892454233
90,18,0,0,0.95,1.0,4.315340186540904
91,18,1,0,0.45,3.5,3.3191679658115256
92,18,2,0,0.65,0.5,0.9239881374915085
93,18,3,0,0.85,2.0,5.1662977238231855
94,18,4,1,0.5,2.8,4.368677972896969
95,19,0,0,0.95,1.0,7.105435292110724
96,19,1,1,0.45,3.5,1.5598906403546244
97,19,2,0,0.65,0.5,4.393145401191217
98,19,3,0,0.85,2.0,8.495068817976057
99,19,4,0,0.5,2.8,4.910421808932759
100,20,0,0,0.95,1.0,5.088869993398747
101,20,1,1,0.45,3.5,1.5418214532364507
102,20,2,0,0.65,0.5,2.703273194840832
103,20,3,0,0.85,2.0,6.945369575352327
104,20,4,0,0.5,2.8,4.971797876239113
105,21,0,0,0.95,1.0,5.04609130026668
106,21,1,0,0.45,3.5,7.3536842367082285
107,21,2,0,0.65,0.5,3.1175954294724875
108,21,3,1,0.85,2.0,1.1671035389049313
109,21,4,0,0.5,2.8,5.475012795702711
110,22,0,0,0.95,1.0,2.944344136266507
111,22,1,0,0.45,3.5,6.428228754788059
112,22,2,0,0.65,0.5,2.7219522918729955
113,22,3,1,0.85,2.0,3.081545656741316
114,22,4,0,0.5,2.8,6.492217353547119
115,23,0,0,0.95,1.0,3.8019033897267587
116,23,1,1,0.45,3.5,2.202511072015094
117,23,2,0,0.65,0.5,3.212223578506786
118,23,3,0,0.85,2.0,7.1962285687907945
119,23,4,0,0.5,2.8,6.494789546383629
120,24,0,0,0.95,1.0,6.353401320735909
121,24,1,1,0.45,3.5,3.5520176434408985
122,24,2,0,0.65,0.5,2.362685963759107
123,24,3,0,0.85,2.0,5.8777326059776795
124,24,4,0,0.5,2.8,2.607462671709761
125,25,0,0,0.95,1.0,4.553006300025709
126,25,1,0,0.45,3.5,2.4798135439910145
127,25,2,0,0.65,0.5,1.7638060501959225
128,25,3,1,0.85,2.0,6.006042653233009
129,25,4,0,0.5,2.8,4.635963459448498
130,26,0,1,0.95,1.0,3.679804487947028
131,26,1,0,0.45,3.5,4.808094204468027
132,26,2,0,0.65,0.5,0.7997404574320903
133,26,3,0,0.85,2.0,3.7631635254753872
134,26,4,0,0.5,2.8,4.872187242809156
135,27,0,1,0.95,1.0,5.469158654294216
136,27,1,0,0.45,3.5,5.789230250827907
137,27,2,0,0.65,0.5,1.7818777372462309
138,27,3,0,0.85,2.0,2.9723710474781835
139,27,4,0,0.5,2.8,3.526822954891013
140,28,0,0,0.95,1.0,4.347825444039298
141,28,1,1,0.45,3.5,3.105202980851914
142,28,2,0,0.65,0.5,1.1387261490435654
143,28,3,0,0.85,2.0,5.380623470634195
144,28,4,0,0.5,2.8,4.4373199561442105
145,29,0,0,0.95,1.0,6.2622297003692475
146,29,1,0,0.45,3.5,9.949836098517826
147,29,2,0,0.65,0.5,5.784938716809999
148,29,3,1,0.85,2.0,1.9828750659399126
149,29,4,0,0.5,2.8,7.982199640093445
150,30,0,0,0.95,1.0,3.4354014707902945
151,30,1,1,0.45,3.5,3.078291202629773
152,30,2,0,0.65,0.5,1.7453510157477734
153,30,3,0,0.85,2.0,5.7110965329046675
154,30,4,0,0.5,2.8,5.503682137518068
155,31,0,1,0.95,1.0,3.183186839607961
156,31,1,0,0.45,3.5,3.184034510885529
157,31,2,0,0.65,0.5,4.065540689933456
158,31,3,0,0.85,2.0,7.67588212757981
159,31,4,0,0.5,2.8,7.676233695449604
160,32,0,0,0.95,1.0,10.58438020983912
161,32,1,1,0.45,3.5,7.966468208687691
162,32,2,0,0.65,0.5,6.353163780209246
163,32,3,0,0.85,2.0,7.297997281192532
164,32,4,0,0.5,2.8,2.167089202107577
165,33,0,0,0.95,1.0,2.12115198199665
166,33,1,0,0.45,3.5,7.579647724588416
167,33,2,0,0.65,0.5,4.634792289230496
168,33,3,1,0.85,2.0,4.638053417088094
169,33,4,0,0.5,2.8,8.629212791320688
170,34,0,1,0.95,1.0,5.422350111184978
171,34,1,0,0.45,3.5,1.339451899090714
172,34,2,0,0.65,0.5,2.9569778805479374
173,34,3,0,0.85,2.0,7.189805628952832
174,34,4,0,0.5,2.8,4.90770370375309
175,35,0,0,0.95,1.0,4.261789610403809
176,35,1,0,0.45,3.5,3.1807042741524985
177,35,2,0,0.65,0.5,1.0703305295921979
178,35,3,1,0.85,2.0,5.307950188683223
