,period_id,y_it,x_it,bus_id
0,0,0,0,0
1,1,0,1,0
2,2,0,3,0
3,3,0,4,0
4,4,0,6,0
5,5,0,7,0
6,6,0,9,0
7,7,0,10,0
8,8,0,12,0
9,9,0,14,0
10,10,0,15,0
11,11,0,17,0
12,12,0,19,0
13,13,0,20,0
14,14,0,22,0
15,15,0,24,0
16,16,0,26,0
17,17,0,28,0
18,18,0,29,0
19,19,0,29,0
20,20,0,30,0
21,21,0,31,0
22,22,0,33,0
23,23,0,34,0
24,24,0,35,0
25,25,0,36,0
26,26,0,37,0
27,27,0,39,0
28,28,0,40,0
29,29,0,41,0
30,30,0,43,0
31,31,1,2,0
32,32,0,3,0
33,33,0,3,0
34,34,0,5,0
35,35,0,6,0
36,36,0,8,0
37,37,0,9,0
38,38,0,11,0
39,39,0,13,0
40,40,0,13,0
41,41,0,15,0
42,42,0,16,0
43,43,0,18,0
44,44,0,19,0
45,45,0,21,0
46,46,0,23,0
47,47,0,25,0
48,48,0,27,0
49,49,0,29,0
50,50,0,30,0
51,51,0,32,0
52,52,0,34,0
53,53,0,35,0
54,54,0,36,0
55,55,0,37,0
56,56,0,39,0
57,57,0,41,0
58,58,0,43,0
59,59,0,43,0
60,60,1,1,0
61,61,0,3,0
62,62,0,4,0
63,63,0,6,0
64,64,0,7,0
65,65,0,8,0
66,66,0,9,0
67,67,0,11,0
68,68,0,12,0
69,69,0,12,0
70,70,0,14,0
71,71,0,16,0
72,72,0,17,0
73,73,0,19,0
74,74,0,21,0
75,75,0,22,0
76,76,0,24,0
77,77,0,25,0
78,78,0,27,0
79,79,0,29,0
80,80,0,31,0
81,81,0,31,0
82,82,1,0,0
83,83,0,1,0
84,84,0,1,0
85,85,0,2,0
86,86,0,4,0
87,87,0,4,0
88,88,0,6,0
89,89,0,7,0
90,90,0,8,0
91,91,0,9,0
92,92,0,11,0
93,93,0,12,0
94,94,0,14,0
95,95,0,16,0
96,96,0,18,0
97,97,0,19,0
98,98,0,20,0
99,99,0,20,0
100,100,0,21,0
101,101,0,22,0
102,102,0,23,0
103,103,1,1,0
104,104,0,2,0
105,105,0,3,0
106,106,0,5,0
107,107,0,7,0
108,108,0,9,0
109,109,0,10,0
110,110,0,11,0
111,111,0,13,0
112,112,0,15,0
113,113,0,16,0
114,114,0,18,0
115,115,0,20,0
116,116,0,22,0
117,117,0,23,0
118,118,0,25,0
119,119,0,26,0
120,120,0,27,0
121,121,0,27,0
122,122,0,28,0
123,123,0,28,0
124,124,0,29,0
125,125,0,31,0
126,126,0,32,0
127,127,0,34,0
128,128,1,2,0
129,129,0,3,0
130,130,0,5,0
131,131,0,7,0
132,132,0,9,0
133,133,0,10,0
134,134,0,10,0
135,135,0,12,0
136,136,0,13,0
137,137,0,14,0
138,138,0,15,0
139,139,0,17,0
140,140,0,17,0
141,141,0,18,0
142,142,0,19,0
143,143,0,21,0
144,144,0,22,0
145,145,0,23,0
146,146,0,25,0
147,147,0,27,0
148,148,0,28,0
149,149,0,30,0
0,0,0,1,1
1,1,0,3,1
2,2,0,3,1
3,3,0,5,1
4,4,0,6,1
5,5,0,6,1
6,6,0,7,1
7,7,0,9,1
8,8,0,9,1
9,9,0,11,1
10,10,0,11,1
11,11,0,13,1
12,12,0,15,1
13,13,0,17,1
14,14,0,19,1
15,15,0,20,1
16,16,0,20,1
17,17,0,21,1
18,18,0,23,1
19,19,0,24,1
20,20,0,25,1
21,21,0,27,1
22,22,0,29,1
23,23,0,30,1
24,24,0,32,1
25,25,0,34,1
26,26,0,35,1
27,27,1,1,1
28,28,0,2,1
29,29,0,3,1
30,30,0,4,1
31,31,0,4,1
32,32,0,4,1
33,33,0,6,1
34,34,0,8,1
35,35,0,9,1
36,36,0,11,1
37,37,0,13,1
38,38,0,15,1
39,39,0,17,1
40,40,0,19,1
41,41,0,21,1
42,42,0,23,1
43,43,1,2,1
44,44,0,3,1
45,45,0,6,1
46,46,0,7,1
47,47,0,8,1
48,48,0,10,1
49,49,0,11,1
50,50,0,13,1
51,51,0,14,1
52,52,0,15,1
53,53,0,17,1
54,54,0,18,1
55,55,0,19,1
56,56,0,21,1
57,57,0,23,1
58,58,0,25,1
59,59,0,27,1
60,60,0,28,1
61,61,0,29,1
62,62,0,30,1
63,63,0,32,1
64,64,0,33,1
65,65,0,34,1
66,66,0,36,1
67,67,0,38,1
68,68,0,40,1
69,69,0,41,1
70,70,1,2,1
71,71,0,3,1
72,72,0,5,1
73,73,0,6,1
74,74,0,8,1
75,75,0,10,1
76,76,0,11,1
77,77,0,13,1
78,78,0,13,1
79,79,0,15,1
80,80,0,16,1
81,81,0,17,1
82,82,0,17,1
83,83,0,17,1
84,84,0,19,1
85,85,0,21,1
86,86,0,22,1
87,87,0,23,1
88,88,0,25,1
89,89,0,25,1
90,90,0,27,1
91,91,0,28,1
92,92,0,30,1
93,93,0,31,1
94,94,1,1,1
95,95,0,3,1
96,96,0,5,1
97,97,0,7,1
98,98,0,8,1
99,99,0,9,1
100,100,0,11,1
101,101,0,13,1
102,102,0,14,1
103,103,0,15,1
104,104,0,16,1
105,105,0,17,1
106,106,0,17,1
107,107,0,19,1
108,108,0,21,1
109,109,0,23,1
110,110,0,25,1
111,111,0,27,1
112,112,0,29,1
113,113,0,30,1
114,114,0,30,1
115,115,0,32,1
116,116,0,34,1
117,117,0,36,1
118,118,0,38,1
119,119,0,40,1
120,120,0,41,1
121,121,1,0,1
122,122,0,1,1
123,123,0,2,1
124,124,0,4,1
125,125,0,5,1
126,126,0,7,1
127,127,0,8,1
128,128,0,10,1
129,129,0,11,1
130,130,0,11,1
131,131,0,13,1
132,132,0,14,1
133,133,0,16,1
134,134,0,17,1
135,135,0,19,1
136,136,0,20,1
137,137,1,1,1
138,138,0,2,1
139,139,0,4,1
140,140,0,5,1
141,141,0,7,1
142,142,0,9,1
143,143,0,10,1
144,144,0,12,1
145,145,0,14,1
146,146,0,15,1
147,147,0,17,1
148,148,0,17,1
149,149,0,19,1
0,0,0,2,2
1,1,0,3,2
2,2,0,3,2
3,3,0,5,2
4,4,0,6,2
5,5,0,8,2
6,6,0,9,2
7,7,0,11,2
8,8,0,13,2
9,9,0,15,2
10,10,0,16,2
11,11,0,18,2
12,12,0,20,2
13,13,0,21,2
14,14,0,23,2
15,15,0,25,2
16,16,0,27,2
17,17,0,29,2
18,18,1,2,2
19,19,0,4,2
20,20,0,6,2
21,21,0,8,2
22,22,0,9,2
23,23,0,11,2
24,24,0,12,2
25,25,0,13,2
26,26,0,15,2
27,27,0,17,2
28,28,0,18,2
29,29,0,19,2
30,30,0,20,2
31,31,0,21,2
32,32,0,23,2
33,33,0,24,2
34,34,0,25,2
35,35,0,26,2
36,36,0,27,2
37,37,0,29,2
38,38,0,30,2
39,39,0,30,2
40,40,0,31,2
41,41,0,33,2
42,42,0,35,2
43,43,0,36,2
44,44,0,37,2
45,45,0,39,2
46,46,0,41,2
47,47,0,42,2
48,48,0,43,2
49,49,1,1,2
50,50,0,3,2
51,51,0,5,2
52,52,0,6,2
53,53,0,7,2
54,54,0,9,2
55,55,0,11,2
56,56,0,12,2
57,57,0,14,2
58,58,0,15,2
59,59,0,17,2
60,60,0,18,2
61,61,0,20,2
62,62,0,22,2
63,63,0,24,2
64,64,0,26,2
65,65,0,27,2
66,66,0,29,2
67,67,1,2,2
68,68,0,4,2
69,69,0,5,2
70,70,0,6,2
71,71,0,8,2
72,72,0,9,2
73,73,0,11,2
74,74,0,13,2
75,75,0,15,2
76,76,0,15,2
77,77,0,16,2
78,78,0,18,2
79,79,0,18,2
80,80,0,20,2
81,81,0,22,2
82,82,0,23,2
83,83,0,24,2
84,84,0,26,2
85,85,0,27,2
86,86,0,28,2
