bus_id,period_id,x_it,y_it
0,0,0,0
0,1,2,0
0,2,3,0
0,3,5,0
0,4,6,0
0,5,8,0
0,6,9,0
0,7,11,0
0,8,12,0
0,9,14,0
0,10,16,0
0,11,17,0
0,12,17,0
0,13,18,0
0,14,20,0
0,15,21,0
0,16,21,0
0,17,22,0
0,18,23,0
0,19,24,0
0,20,25,0
0,21,27,0
0,22,29,0
0,23,30,0
0,24,30,0
0,25,32,0
0,26,34,0
0,27,35,0
0,28,36,0
0,29,38,0
0,30,39,0
0,31,41,0
0,32,43,0
0,33,43,0
0,34,45,1
0,35,1,0
0,36,3,0
0,37,5,0
0,38,6,0
0,39,8,0
0,40,10,0
0,41,11,0
0,42,13,0
0,43,14,0
0,44,16,0
0,45,18,0
0,46,20,0
0,47,21,0
0,48,23,0
0,49,24,0
0,50,26,0
0,51,27,0
0,52,27,0
0,53,28,0
0,54,30,0
0,55,31,1
0,56,2,0
0,57,3,0
0,58,4,0
0,59,6,0
0,60,8,0
0,61,9,0
0,62,10,0
0,63,11,0
0,64,12,0
0,65,13,0
0,66,15,0
0,67,17,0
0,68,18,0
0,69,18,0
0,70,19,0
0,71,21,0
0,72,22,0
0,73,23,0
0,74,25,0
0,75,26,0
0,76,28,0
0,77,29,0
0,78,31,0
0,79,31,0
0,80,31,0
0,81,32,0
0,82,33,0
0,83,33,0
0,84,35,0
0,85,37,0
0,86,39,1
0,87,0,0
0,88,1,0
0,89,3,0
0,90,4,0
0,91,5,0
0,92,6,0
0,93,7,0
0,94,9,0
0,95,11,0
0,96,12,0
0,97,13,0
0,98,14,0
0,99,16,0
0,100,17,0
0,101,19,0
0,102,19,0
0,103,20,0
0,104,20,0
0,105,23,0
0,106,24,0
0,107,25,0
0,108,27,0
0,109,29,0
0,110,31,0
0,111,33,0
0,112,35,0
0,113,37,0
0,114,38,1
0,115,1,0
0,116,1,0
0,117,2,0
0,118,4,0
0,119,6,0
0,120,7,0
0,121,8,0
0,122,9,0
0,123,11,0
0,124,11,0
0,125,11,0
0,126,12,0
0,127,12,0
0,128,14,0
0,129,15,0
0,130,17,0
0,131,18,0
0,132,20,0
0,133,20,0
0,134,21,0
0,135,21,0
0,136,22,0
0,137,24,0
0,138,26,0
0,139,27,0
0,140,29,0
0,141,31,0
0,142,33,1
0,143,1,0
0,144,2,0
0,145,3,0
0,146,4,0
0,147,6,0
0,148,6,0
0,149,7,0
1,0,0,0
1,1,1,0
1,2,2,0
1,3,3,0
1,4,4,0
1,5,5,0
1,6,6,0
1,7,7,0
1,8,9,0
1,9,10,0
1,10,12,0
1,11,13,0
1,12,15,0
1,13,16,0
1,14,16,0
1,15,17,0
1,16,17,0
1,17,19,0
1,18,19,0
1,19,21,0
1,20,22,0
1,21,25,0
1,22,26,0
1,23,27,0
1,24,28,0
1,25,29,0
1,26,31,0
1,27,34,0
1,28,36,0
1,29,37,1
1,30,1,0
1,31,2,0
1,32,4,0
1,33,5,0
1,34,6,0
1,35,7,0
1,36,9,0
1,37,10,0
1,38,12,0
1,39,13,0
1,40,14,0
1,41,15,0
1,42,16,0
1,43,18,0
1,44,20,0
1,45,22,0
1,46,24,0
1,47,25,0
1,48,25,0
1,49,26,0
1,50,27,0
1,51,28,0
1,52,28,0
1,53,29,0
1,54,30,1
1,55,0,0
1,56,1,0
1,57,3,0
1,58,5,0
1,59,6,0
1,60,6,0
1,61,6,0
1,62,7,0
1,63,8,0
1,64,10,0
1,65,12,0
1,66,14,0
1,67,15,0
1,68,16,0
1,69,17,0
1,70,18,0
1,71,19,0
1,72,21,0
1,73,22,0
1,74,24,0
1,75,26,0
1,76,28,0
1,77,28,0
1,78,29,0
1,79,30,0
1,80,32,0
1,81,34,0
1,82,36,0
1,83,38,0
1,84,40,0
1,85,41,1
1,86,2,0
1,87,4,0
1,88,5,0
1,89,6,0
1,90,8,0
1,91,10,0
1,92,12,0
1,93,13,0
1,94,15,0
1,95,17,0
1,96,19,0
1,97,21,0
1,98,23,0
1,99,25,0
1,100,27,0
1,101,28,0
1,102,29,0
1,103,31,0
1,104,32,0
1,105,34,0
1,106,36,0
1,107,38,1
1,108,2,0
1,109,4,0
1,110,6,0
1,111,7,0
1,112,8,0
1,113,10,0
1,114,13,0
1,115,14,0
1,116,15,0
1,117,17,0
1,118,18,0
1,119,20,0
1,120,21,0
1,121,23,0
1,122,25,0
1,123,27,0
1,124,29,0
1,125,31,0
1,126,32,0
1,127,32,0
1,128,34,0
1,129,35,0
1,130,35,0
1,131,36,0
1,132,36,0
1,133,37,0
1,134,39,0
1,135,41,1
1,136,1,0
1,137,2,0
1,138,3,0
1,139,5,0
1,140,6,0
1,141,7,0
1,142,9,0
1,143,11,0
1,144,13,0
1,145,14,0
1,146,15,0
1,147,17,0
1,148,17,0
1,149,19,0
2,0,0,0
2,1,1,0
2,2,3,0
2,3,5,0
2,4,6,0
2,5,8,0
2,6,8,0
2,7,9,0
2,8,11,0
2,9,12,0
2,10,13,0
2,11,15,0
2,12,15,0
2,13,17,0
2,14,18,1
2,15,1,0
2,16,2,0
2,17,2,0
2,18,4,0
2,19,6,0
2,20,7,0
2,21,7,0
2,22,9,0
2,23,10,0
2,24,11,0
2,25,13,0
2,26,15,0
2,27,17,0
2,28,19,0
2,29,20,0
2,30,22,0
2,31,23,0
2,32,25,0
2,33,25,0
2,34,27,0
2,35,28,0
2,36,28,0
2,37,29,0
2,38,31,0
2,39,31,0
2,40,31,0
2,41,32,0
2,42,33,1
2,43,2,0
2,44,4,0
2,45,5,0
2,46,7,0
2,47,8,0
2,48,10,0
2,49,11,0
2,50,13,0
2,51,14,0
2,52,16,0
2,53,18,0
2,54,19,0
2,55,22,0
2,56,23,0
2,57,24,0
2,58,26,0
2,59,28,0
2,60,29,0
2,61,31,0
2,62,33,0
2,63,34,0
2,64,35,1
2,65,2,0
2,66,4,0
2,67,6,0
2,68,8,0
2,69,10,0
2,70,11,0
2,71,13,0
2,72,15,0
2,73,16,0
2,74,18,0
2,75,20,0
2,76,22,0
2,77,22,0
2,78,24,0
2,79,25,1
2,80,2,0
2,81,4,0
2,82,5,0
2,83,6,0
2,84,7,0
2,85,9,0
2,86,11,0
2,87,11,0
2,88,13,0
2,89,15,0
2,90,17,0
2,91,18,0
2,92,19,0
2,93,21,0
2,94,23,0
2,95,24,0
2,96,25,0
2,97,26,0
2,98,28,0
2,99,28,0
2,100,29,0
2,101,30,0
2,102,32,0
2,103,34,0
2,104,36,0
2,105,36,0
2,106,37,1
2,107,3,0
2,108,4,0
2,109,6,0
2,110,6,0
2,111,7,0
2,112,9,0
2,113,10,0
2,114,12,0
2,115,13,0
2,116,15,0
2,117,16,0
2,118,18,0
2,119,20,0
2,120,20,0
2,121,20,0
2,122,21,0
2,123,22,0
2,124,24,0
2,125,26,0
2,126,28,0
2,127,30,1
2,128,2,0
2,129,4,0
2,130,6,0
2,131,7,0
2,132,7,0
2,133,8,0
2,134,10,0
2,135,11,0
2,136,12,0
2,137,14,0
2,138,16,0
2,139,18,0
2,140,20,0
2,141,21,0
2,142,22,0
2,143,23,0
2,144,25,0
2,145,26,0
2,146,28,0
2,147,29,0
2,148,30,1
2,149,3,0
3,0,0,0
3,1,1,0
3,2,1,0
3,3,2,0
3,4,4,0
3,5,5,0
3,6,6,0
3,7,8,0
3,8,10,0
3,9,11,0
3,10,12,0
3,11,13,0
3,12,14,0
3,13,16,0
3,14,18,0
3,15,18,0
3,16,18,0
3,17,21,0
3,18,22,0
3,19,24,0
3,20,24,0
3,21,25,0
3,22,26,0
3,23,27,0
3,24,27,0
3,25,28,0
3,26,30,0
3,27,30,0
3,28,32,0
3,29,34,0
3,30,35,0
3,31,36,0
3,32,37,0
3,33,40,0
3,34,41,1
3,35,2,0
3,36,3,0
3,37,5,0
3,38,7,0
3,39,8,0
3,40,8,0
3,41,9,0
3,42,11,0
3,43,12,0
3,44,13,0
3,45,15,0
3,46,16,0
3,47,16,0
3,48,18,0
3,49,20,0
3,50,21,0
3,51,21,0
3,52,23,0
3,53,25,0
3,54,26,0
3,55,28,0
3,56,29,0
3,57,30,0
3,58,31,0
3,59,33,0
3,60,35,1
3,61,1,0
3,62,3,0
3,63,4,0
3,64,5,0
3,65,7,0
3,66,9,0
3,67,10,0
3,68,12,0
3,69,14,0
3,70,16,0
3,71,18,0
3,72,20,0
3,73,22,0
3,74,24,0
3,75,24,0
3,76,26,0
3,77,26,0
3,78,28,0
3,79,30,0
3,80,30,0
3,81,31,0
3,82,32,0
3,83,34,0
3,84,36,0
3,85,38,0
3,86,40,0
3,87,41,0
3,88,42,0
3,89,42,0
3,90,42,0
3,91,44,0
3,92,45,1
3,93,0,0
3,94,0,0
3,95,1,0
3,96,2,0
3,97,4,0
3,98,6,0
3,99,7,0
3,100,8,0
3,101,10,0
3,102,12,0
3,103,13,0
3,104,14,0
3,105,14,0
3,106,15,0
3,107,17,0
3,108,19,0
3,109,19,0
3,110,20,0
3,111,22,0
3,112,24,0
3,113,25,0
3,114,25,0
3,115,25,0
3,116,27,0
3,117,28,0
3,118,30,0
3,119,31,0
3,120,32,0
3,121,33,0
3,122,35,0
3,123,37,0
3,124,38,0
3,125,40,0
3,126,41,1
3,127,2,0
3,128,4,0
3,129,6,0
3,130,7,0
3,131,8,0
3,132,9,0
3,133,10,0
3,134,11,0
3,135,12,0
3,136,13,0
3,137,15,0
3,138,16,0
3,139,18,0
3,140,19,0
3,141,20,0
3,142,22,0
3,143,23,0
3,144,25,0
3,145,25,0
3,146,25,0
3,147,27,0
3,148,28,1
3,149,2,0
4,0,0,0
4,1,3,0
4,2,5,0
4,3,7,0
4,4,8,0
4,5,10,0
4,6,11,0
4,7,12,0
4,8,14,0
4,9,15,0
4,10,16,0
4,11,18,0
4,12,20,0
4,13,22,0
4,14,24,0
4,15,25,0
4,16,25,0
4,17,26,0
4,18,27,0
4,19,29,0
4,20,31,1
4,21,1,0
4,22,2,0
4,23,3,0
4,24,5,0
4,25,7,0
4,26,8,0
4,27,10,0
4,28,11,0
4,29,13,0
4,30,15,0
4,31,16,0
4,32,18,0
4,33,18,0
4,34,20,0
4,35,22,0
4,36,24,1
4,37,2,0
4,38,2,0
4,39,3,0
4,40,4,0
4,41,5,0
4,42,6,0
4,43,7,0
4,44,9,0
4,45,10,0
4,46,12,0
4,47,14,0
4,48,14,0
4,49,14,0
4,50,15,0
4,51,17,0
4,52,19,0
4,53,20,0
4,54,21,1
4,55,1,0
4,56,2,0
4,57,4,0
4,58,6,0
4,59,7,0
4,60,9,0
4,61,11,0
4,62,13,0
4,63,14,0
4,64,14,0
4,65,16,0
4,66,17,0
4,67,18,0
4,68,20,0
4,69,21,0
4,70,23,0
4,71,25,0
4,72,26,0
4,73,27,0
4,74,29,0
4,75,31,0
4,76,31,0
4,77,33,0
4,78,34,0
4,79,37,0
4,80,37,0
4,81,38,0
4,82,39,0
4,83,41,1
4,84,1,0
4,85,3,0
4,86,5,0
4,87,6,0
4,88,8,0
4,89,10,0
4,90,12,0
4,91,14,0
4,92,14,0
4,93,16,0
4,94,16,0
4,95,17,0
4,96,18,0
4,97,19,0
4,98,21,0
4,99,23,0
4,100,25,0
4,101,27,0
4,102,28,0
4,103,30,0
4,104,31,0
4,105,33,0
4,106,35,0
4,107,37,1
4,108,2,0
4,109,4,0
4,110,6,0
4,111,8,0
4,112,10,0
4,113,11,0
4,114,12,0
4,115,13,0
4,116,14,0
4,117,16,0
4,118,17,0
4,119,19,0
4,120,21,0
4,121,23,0
4,122,25,0
4,123,25,0
4,124,27,0
4,125,29,0
4,126,31,0
4,127,33,0
4,128,34,0
4,129,35,0
4,130,36,0
4,131,37,0
4,132,39,0
4,133,40,0
4,134,40,0
4,135,42,0
4,136,45,0
4,137,46,1
4,138,0,0
4,139,2,0
4,140,2,0
4,141,3,0
4,142,4,0
4,143,5,0
4,144,7,0
4,145,8,0
4,146,10,0
4,147,11,0
4,148,13,0
4,149,13,0
5,0,0,0
5,1,2,0
5,2,3,0
5,3,4,0
5,4,5,0
5,5,7,0
5,6,8,0
5,7,9,0
5,8,9,0
5,9,10,0
5,10,11,0
5,11,13,0
5,12,13,0
5,13,15,0
5,14,17,0
5,15,18,0
5,16,19,0
5,17,21,0
5,18,22,0
5,19,23,0
5,20,24,0
5,21,25,0
5,22,27,0
5,23,29,0
5,24,31,0
5,25,32,0
5,26,34,0
5,27,36,0
5,28,38,0
5,29,40,1
5,30,2,0
5,31,4,0
5,32,6,0
5,33,8,0
5,34,8,0
5,35,9,0
5,36,10,0
5,37,13,0
5,38,15,0
5,39,15,0
5,40,17,0
5,41,18,0
5,42,19,0
5,43,20,0
5,44,21,0
5,45,23,0
5,46,25,0
5,47,27,0
5,48,29,0
5,49,29,0
5,50,30,0
5,51,31,0
5,52,32,0
5,53,33,0
5,54,35,0
5,55,36,0
5,56,38,0
5,57,40,0
5,58,42,0
5,59,44,0
5,60,46,0
5,61,48,0
5,62,50,0
5,63,51,0
5,64,52,1
5,65,3,0
5,66,3,0
5,67,4,0
5,68,6,0
5,69,8,0
5,70,10,0
5,71,11,0
5,72,13,0
5,73,15,0
5,74,16,0
5,75,17,0
5,76,18,0
5,77,19,0
5,78,19,0
5,79,21,1
5,80,2,0
5,81,3,0
5,82,5,0
5,83,6,0
5,84,6,0
5,85,7,0
5,86,9,0
5,87,10,0
5,88,11,0
5,89,12,0
5,90,13,0
5,91,14,0
5,92,16,0
5,93,17,0
5,94,18,0
5,95,19,0
5,96,21,0
5,97,23,0
5,98,25,0
5,99,27,0
5,100,29,0
5,101,31,0
5,102,32,0
5,103,33,0
5,104,35,0
5,105,36,0
5,106,38,0
5,107,40,0
5,108,41,0
5,109,42,1
5,110,2,0
5,111,3,0
5,112,3,0
5,113,5,0
5,114,7,0
5,115,9,0
5,116,10,0
5,117,11,0
5,118,13,0
5,119,15,0
5,120,16,0
5,121,18,0
5,122,19,0
5,123,21,0
5,124,23,0
5,125,24,0
5,126,26,0
5,127,28,0
5,128,29,0
5,129,30,0
5,130,32,0
5,131,32,0
5,132,33,0
5,133,33,0
5,134,35,0
5,135,36,0
5,136,37,0
5,137,38,0
5,138,40,0
5,139,41,0
5,140,42,0
5,141,43,1
5,142,1,0
5,143,3,0
5,144,4,0
5,145,6,0
5,146,7,0
5,147,8,0
5,148,10,0
5,149,10,0
6,0,0,0
6,1,2,0
6,2,4,0
6,3,6,0
6,4,8,0
6,5,10,0
6,6,11,0
6,7,13,0
6,8,15,0
6,9,15,0
6,10,17,0
6,11,19,0
6,12,21,0
6,13,23,0
6,14,23,0
6,15,24,0
6,16,25,0
6,17,27,1
6,18,2,0
6,19,3,0
6,20,3,0
6,21,4,0
6,22,6,0
6,23,8,0
6,24,9,0
6,25,10,0
6,26,12,0
6,27,14,0
6,28,15,0
6,29,16,0
6,30,18,0
6,31,20,0
6,32,22,0
6,33,23,0
6,34,24,0
6,35,26,0
6,36,26,0
6,37,26,0
6,38,28,0
6,39,30,0
6,40,32,0
6,41,32,0
6,42,34,0
6,43,36,0
6,44,37,0
6,45,38,1
6,46,2,0
6,47,3,0
6,48,4,0
6,49,6,0
